lead_months,split,model,n,rmse,acc,skill_vs_persistence
3,validation,hhsa_no_lf_am,84,0.39183124813043835,0.8534326614589756,0.3959124516856808
3,validation,hhsa_shuffled_lf_am,84,0.39115301851856144,0.854439521720119,0.3980018995138276
3,validation,hhsa_real_lf_am,84,0.3897632063432744,0.8565316746877673,0.4022722380628999
3,validation,oracle_envelope,84,0.38508043218500004,0.8603502241569767,0.4165486487821416
3,validation,oracle_carrier,84,0.3812244895440293,0.8581478602923709,0.4281747454231636
3,validation,persistence,84,0.5041376418248908,0.7291448778782439,0.0
3,test,hhsa_no_lf_am,67,0.39286428981308924,0.8996918997062122,0.4805297983044412
3,test,hhsa_shuffled_lf_am,67,0.3942313509202939,0.8997028332786412,0.4769082776529774
3,test,hhsa_real_lf_am,67,0.40275588634816506,0.8956109406932891,0.45404188704293347
3,test,oracle_envelope,67,0.3702916787536231,0.910745372688024,0.5385087868541838
3,test,oracle_carrier,67,0.3957009291420028,0.8966051006110904,0.4730011455089206
3,test,persistence,67,0.5450824940989523,0.7617044655634639,0.0
6,validation,hhsa_no_lf_am,84,0.4746689012668359,0.7877059212013193,0.6433131892148503
6,validation,hhsa_shuffled_lf_am,84,0.47469804150858536,0.7878486759647787,0.6432693933861668
6,validation,hhsa_real_lf_am,84,0.4772998193924286,0.7871636857455738,0.6393482593980533
6,validation,oracle_envelope,84,0.463299981979316,0.8049593617329643,0.6601947698230917
6,validation,oracle_carrier,84,0.44878878531662086,0.806099266790651,0.6811477512329005
6,validation,persistence,84,0.7947805926645356,0.31778548150569685,0.0
6,test,hhsa_no_lf_am,67,0.5139608646000579,0.8403442517310443,0.6551733128729249
6,test,hhsa_shuffled_lf_am,67,0.514657574545734,0.8405155853428522,0.6542378057830995
6,test,hhsa_real_lf_am,67,0.5070803932323127,0.852349819048355,0.6643440078938645
6,test,oracle_envelope,67,0.45545068115357823,0.8774928141307683,0.7292157005755742
6,test,oracle_carrier,67,0.48264177095860944,0.8527353290533822,0.6959180935446988
6,test,persistence,67,0.8752449550516036,0.370538412318393,0.0
12,validation,hhsa_no_lf_am,84,0.443146858939221,0.8120220934739668,0.8130273656136896
12,validation,hhsa_shuffled_lf_am,84,0.44247481176885517,0.8128633290325225,0.8135940362229928
12,validation,hhsa_real_lf_am,84,0.4538375277452,0.824512706262721,0.8038973303385678
12,validation,oracle_envelope,84,0.42217503240731036,0.8443342638289516,0.8303054919071301
12,validation,oracle_carrier,84,0.4240723423472027,0.8465920783026728,0.8287768058204744
12,validation,persistence,84,1.0248460976212592,-0.10372550258280365,0.0
12,test,hhsa_no_lf_am,67,0.5639182574531105,0.8418037162427985,0.7605253108552489
12,test,hhsa_shuffled_lf_am,67,0.5667684646578814,0.8404972831126649,0.7580984435392994
12,test,hhsa_real_lf_am,67,0.5445853861753603,0.8476068089027412,0.7766637225921724
12,test,oracle_envelope,67,0.501088005538659,0.8554960863136827,0.8109157646919479
12,test,oracle_carrier,67,0.4999925605257898,0.8482574790994053,0.8117415875890058
12,test,persistence,67,1.1523551484068189,-0.09195119580136298,0.0
