lead_months,split,model,n,rmse,acc,skill_vs_persistence
3,validation,persistence,84,0.5041376418248908,0.7291448778782439,0.0
3,validation,ridge_raw,84,0.4563362479301536,0.812637650100853,0.1806458017379019
3,validation,xgb_raw,84,0.5207057176579097,0.7368113606946034,-0.06680843738524822
3,validation,xgb_hhsa_no_am,84,0.399174704630607,0.9132410013891691,0.3730574094982285
3,validation,xgb_hhsa_am,84,0.4544038317122522,0.915582001941797,0.18757043650375882
3,test,persistence,67,0.5450824940989523,0.7617044655634639,0.0
3,test,ridge_raw,67,0.4733260973682017,0.8155486334372084,0.24595644541097073
3,test,xgb_raw,67,0.4768134448400804,0.821041974085726,0.2348043071389171
3,test,xgb_hhsa_no_am,67,0.2908223382915601,0.9568094935087728,0.7153369782983703
3,test,xgb_hhsa_am,67,0.36104107885638276,0.9442240574674995,0.561278651827811
6,validation,persistence,84,0.7947805926645356,0.31778548150569685,0.0
6,validation,ridge_raw,84,0.7273690559629887,0.559088485332377,0.16244153009209994
6,validation,xgb_raw,84,0.7822159900972716,0.4256111526099289,0.03136786792200996
6,validation,xgb_hhsa_no_am,84,0.5534440162479342,0.8554791739672447,0.515099217385828
6,validation,xgb_hhsa_am,84,0.7078976852120061,0.7419444828932638,0.2066835187333136
6,test,persistence,67,0.8752449550516036,0.370538412318393,0.0
6,test,ridge_raw,67,0.7206482696882918,0.4691204469160698,0.3220659238953498
6,test,xgb_raw,67,0.6781447333032675,0.5877106958434257,0.39967621004788434
6,test,xgb_hhsa_no_am,67,0.47506908401886583,0.8782135941793532,0.7053853726490267
6,test,xgb_hhsa_am,67,0.5721430025999306,0.8746040024284687,0.5726832178598538
12,validation,persistence,84,1.0248460976212592,-0.10372550258280365,0.0
12,validation,ridge_raw,84,0.9661140018225898,0.5018576957293025,0.11133218983651805
12,validation,xgb_raw,84,1.0251693574552208,0.2951827969821711,-0.000630945107707781
12,validation,xgb_hhsa_no_am,84,0.6864848162985019,0.6845331497325894,0.5513118825209736
12,validation,xgb_hhsa_am,84,0.9248356882583997,0.49008418483250193,0.18564858178749366
12,test,persistence,67,1.1523551484068189,-0.09195119580136298,0.0
12,test,ridge_raw,67,0.7743013842745092,0.33308270184127053,0.5485107871662251
12,test,xgb_raw,67,0.8423786580887211,0.2996844631737131,0.4656300624314409
12,test,xgb_hhsa_no_am,67,0.5977393788918702,0.7533017435190369,0.7309388197000746
12,test,xgb_hhsa_am,67,0.6626073292865078,0.6888173581214259,0.6693718874145078
