lead_months,split,model,n,rmse,acc,skill_vs_persistence
3,validation,structured_no_gate,84,0.6964550296533054,0.744570081072806,-0.9084812918482588
3,validation,structured_shuffled_am,84,0.7332373636681943,0.7121730069724017,-1.1153923202137355
3,validation,structured_real_am,84,0.70507255437106,0.7422734916057948,-0.9560023318139415
3,validation,persistence,84,0.5041376418248908,0.7291448778782439,0.0
3,test,structured_no_gate,67,0.5554709975518028,0.8775556726445111,-0.03848040866241331
3,test,structured_shuffled_am,67,0.5560285795600164,0.8820053434443202,-0.04056630914538739
3,test,structured_real_am,67,0.5831654671555205,0.8592203348998374,-0.14461419821175814
3,test,persistence,67,0.5450824940989523,0.7617044655634639,0.0
6,validation,structured_no_gate,84,0.7160867411152346,0.6962414026405052,0.18822297162336188
6,validation,structured_shuffled_am,84,0.720818280734102,0.6975212103927864,0.17745990481486895
6,validation,structured_real_am,84,0.7227256298837418,0.7015339456449117,0.17310111736665268
6,validation,persistence,84,0.7947805926645356,0.31778548150569685,0.0
6,test,structured_no_gate,67,0.6242082363663958,0.8099079908121259,0.4913725938461062
6,test,structured_shuffled_am,67,0.6357154056603698,0.7914748262827046,0.47244682656231574
6,test,structured_real_am,67,0.6741417493392728,0.7577898192302135,0.40674253044195485
6,test,persistence,67,0.8752449550516036,0.370538412318393,0.0
12,validation,structured_no_gate,84,0.6029112359910348,0.8187351977335747,0.6539096806760374
12,validation,structured_shuffled_am,84,0.5927394351405824,0.8273741389148472,0.6654890486982834
12,validation,structured_real_am,84,0.635745049597414,0.8163783881776633,0.6151879432439423
12,validation,persistence,84,1.0248460976212592,-0.10372550258280365,0.0
12,test,structured_no_gate,67,0.6314606758622459,0.768714721841165,0.6997244803267242
12,test,structured_shuffled_am,67,0.6527365628534605,0.7443911559054376,0.6791491548626604
12,test,structured_real_am,67,0.6509498965431066,0.7331105907496358,0.6809032127030976
12,test,persistence,67,1.1523551484068189,-0.09195119580136298,0.0
