lead_months,split,model,n,rmse,acc,skill_vs_persistence
3,validation,persistence,84,0.5041376418248908,0.7291448778782439,0.0
3,validation,ridge_raw,84,0.4563362479301536,0.812637650100853,0.1806458017379019
3,validation,xgb_raw,84,0.5207057176579097,0.7368113606946034,-0.06680843738524822
3,validation,xgb_enso_carrier,84,0.4410638026377436,0.8306954819835916,0.23457157938215456
3,validation,xgb_enso_envelope,84,0.5020426062307344,0.7867439379200123,0.008294093795510271
3,validation,xgb_enso_selected_am,84,0.5681976732810538,0.7695843337294809,-0.2702834820107858
3,test,persistence,67,0.5450824940989523,0.7617044655634639,0.0
3,test,ridge_raw,67,0.4733260973682017,0.8155486334372084,0.24595644541097073
3,test,xgb_raw,67,0.4768134448400804,0.821041974085726,0.2348043071389171
3,test,xgb_enso_carrier,67,0.46828820158844187,0.8577883227324875,0.2619225053351488
3,test,xgb_enso_envelope,67,0.468053414095076,0.8604883659637335,0.2626624254202956
3,test,xgb_enso_selected_am,67,0.49470099839077597,0.8594094581493209,0.17631509927855193
6,validation,persistence,84,0.7947805926645356,0.31778548150569685,0.0
6,validation,ridge_raw,84,0.7273690559629887,0.559088485332377,0.16244153009209994
6,validation,xgb_raw,84,0.7822159900972716,0.4256111526099289,0.03136786792200996
6,validation,xgb_enso_carrier,84,0.543487754818926,0.7460285881570435,0.5323886762053753
6,validation,xgb_enso_envelope,84,0.6343519053776492,0.6480644200155781,0.3629610456697725
6,validation,xgb_enso_selected_am,84,0.703983427352106,0.590859337573772,0.21543241069001806
6,test,persistence,67,0.8752449550516036,0.370538412318393,0.0
6,test,ridge_raw,67,0.7206482696882918,0.4691204469160698,0.3220659238953498
6,test,xgb_raw,67,0.6781447333032675,0.5877106958434257,0.39967621004788434
6,test,xgb_enso_carrier,67,0.605790997775055,0.7393309961579643,0.5209438738170645
6,test,xgb_enso_envelope,67,0.636766482854346,0.713157772640606,0.4707008959075296
6,test,xgb_enso_selected_am,67,0.6438590296123307,0.6708688630278559,0.4588441605964033
12,validation,persistence,84,1.0248460976212592,-0.10372550258280365,0.0
12,validation,ridge_raw,84,0.9661140018225898,0.5018576957293025,0.11133218983651805
12,validation,xgb_raw,84,1.0251693574552208,0.2951827969821711,-0.000630945107707781
12,validation,xgb_enso_carrier,84,0.547063654722292,0.7929272717516336,0.7150567184875054
12,validation,xgb_enso_envelope,84,0.6476514350205743,0.7530079902270969,0.6006392670202256
12,validation,xgb_enso_selected_am,84,0.8613161149343217,0.6650851918228525,0.2936696916212169
12,test,persistence,67,1.1523551484068189,-0.09195119580136298,0.0
12,test,ridge_raw,67,0.7743013842745092,0.33308270184127053,0.5485107871662251
12,test,xgb_raw,67,0.8423786580887211,0.2996844631737131,0.4656300624314409
12,test,xgb_enso_carrier,67,0.5821670878140465,0.7492164434899421,0.744775356465599
12,test,xgb_enso_envelope,67,0.6319144377950489,0.7214711952361726,0.6992927747251144
12,test,xgb_enso_selected_am,67,0.6580905988280903,0.6131474266631752,0.6738640449471482
